,web-scraper-order,web-scraper-start-url,link,link-href,adres,buurt,oppervlakte_wonen,slaapkamers,huurmaand,huurprijs,huurovereenkomst,aangeboden_sinds,status,aanvaarding,soort_woonhuis,soort_bouw,bouwjaar,specifiek,soort_dak,opp_gebouwgebonden_buitenruimte,opp_externe_bergruimte,opp_perceel,inhoud,aantal_kamers,aantal_badkamers,badkamervoorziening,aantal_woonlagen,voorzieningen,energielabel,isolatie,verwarming,warm_water,cv_ketel,kadastrale_kaart,oppervlakte_kadaster,ligging,tuin,achtertuin,ligging_tuin,balkon_dakterras,parkeergelegenheid,postcode,plaatsnaam,huurmaand_woning,aantal_toiletten,plaatsnaam_encoded
689,1732826501-690,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=241,"Molenaarspad 2
             
                2317 PZ Leiden",https://www.funda.nl/detail/huur/leiden/huis-molenaarspad-2/43648385/,Molenaarspad 2,Merenwijk-Centrum,32.0,1.0,864.0,€ 864 per maand (servicekosten onbekend),Onbepaalde tijd,2 maanden,Onder optie,In overleg,"Bungalow, vrijstaande woning",Nieuwbouw,2024.0,,Lessenaardak,,,,87.0,3.0,1.0,"Inloopdouche, toilet, en wastafel",2.0,"Mechanische ventilatie, TV kabel, en zonnepanelen",Niet verplicht,Dubbel glas en volledig geïsoleerd,Warmtepomp,Elektrische boiler,,Ligging,,In woonwijk,Tuin rondom,,,,Openbaar parkeren,2317 PZ,Leiden,864.0,1.0,224
690,1732826506-691,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=240,"Molenaarspad 3
             
                2317 PZ Leiden",https://www.funda.nl/detail/huur/leiden/huis-molenaarspad-3/43648387/,Molenaarspad 3,Merenwijk-Centrum,32.0,1.0,864.0,€ 864 per maand (servicekosten onbekend),Onbepaalde tijd,2 maanden,Onder optie,In overleg,"Bungalow, vrijstaande woning",Nieuwbouw,2024.0,,Lessenaardak,,,,87.0,3.0,1.0,"Inloopdouche, toilet, en wastafel",2.0,"Mechanische ventilatie, TV kabel, en zonnepanelen",Niet verplicht,Dubbel glas en volledig geïsoleerd,Warmtepomp,Elektrische boiler,,Ligging,,In woonwijk,Tuin rondom,,,,Openbaar parkeren,2317 PZ,Leiden,864.0,1.0,224
691,1732826508-692,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=240,"Molenaarspad 4
             
                2317 PZ Leiden",https://www.funda.nl/detail/huur/leiden/huis-molenaarspad-4/43648388/,Molenaarspad 4,Merenwijk-Centrum,32.0,1.0,864.0,€ 864 per maand (servicekosten onbekend),Onbepaalde tijd,2 maanden,Onder optie,In overleg,"Bungalow, vrijstaande woning",Nieuwbouw,2024.0,,Lessenaardak,,,,87.0,3.0,1.0,"Inloopdouche, toilet, en wastafel",2.0,"Mechanische ventilatie, TV kabel, en zonnepanelen",Niet verplicht,Dubbel glas en volledig geïsoleerd,Warmtepomp,Elektrische boiler,,Ligging,,In woonwijk,Tuin rondom,,,,Openbaar parkeren,2317 PZ,Leiden,864.0,1.0,224
692,1732826510-693,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=240,"Molenaarspad 5
             
                2317 PZ Leiden",https://www.funda.nl/detail/huur/leiden/huis-molenaarspad-5/43648381/,Molenaarspad 5,Merenwijk-Centrum,32.0,1.0,864.0,€ 864 per maand (servicekosten onbekend),Onbepaalde tijd,2 maanden,Onder optie,In overleg,"Bungalow, vrijstaande woning",Nieuwbouw,2024.0,,Lessenaardak,,,,87.0,3.0,1.0,"Inloopdouche, toilet, en wastafel",2.0,"Mechanische ventilatie, TV kabel, en zonnepanelen",Niet verplicht,Dubbel glas en volledig geïsoleerd,Warmtepomp,Elektrische boiler,,Ligging,,In woonwijk,Tuin rondom,,,,Openbaar parkeren,2317 PZ,Leiden,864.0,1.0,224
693,1732826513-694,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=240,"Molenaarspad 6
             
                2317 PZ Leiden",https://www.funda.nl/detail/huur/leiden/huis-molenaarspad-6/43648393/,Molenaarspad 6,Merenwijk-Centrum,32.0,1.0,864.0,€ 864 per maand (servicekosten onbekend),Onbepaalde tijd,2 maanden,Onder optie,In overleg,"Bungalow, vrijstaande woning",Nieuwbouw,2024.0,,Lessenaardak,,,,87.0,3.0,1.0,"Inloopdouche, toilet, en wastafel",2.0,"Mechanische ventilatie, TV kabel, en zonnepanelen",Niet verplicht,Dubbel glas en volledig geïsoleerd,Warmtepomp,Elektrische boiler,,Ligging,,In woonwijk,Tuin rondom,,,,Openbaar parkeren,2317 PZ,Leiden,864.0,1.0,224
694,1732826515-695,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=240,"Molenaarspad 8
             
                2317 PZ Leiden",https://www.funda.nl/detail/huur/leiden/huis-molenaarspad-8/43648396/,Molenaarspad 8,Merenwijk-Centrum,32.0,1.0,864.0,€ 864 per maand (servicekosten onbekend),Onbepaalde tijd,2 maanden,Onder optie,In overleg,"Bungalow, vrijstaande woning",Nieuwbouw,2024.0,,Lessenaardak,,,,87.0,3.0,1.0,"Inloopdouche, toilet, en wastafel",2.0,"Mechanische ventilatie, TV kabel, en zonnepanelen",Niet verplicht,Dubbel glas en volledig geïsoleerd,Warmtepomp,Elektrische boiler,,Ligging,,In woonwijk,Tuin rondom,,,,Openbaar parkeren,2317 PZ,Leiden,864.0,1.0,224
695,1732826517-696,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=240,"Molenaarspad 10
             
                2317 PZ Leiden",https://www.funda.nl/detail/huur/leiden/huis-molenaarspad-10/43648397/,Molenaarspad 10,Merenwijk-Centrum,32.0,1.0,864.0,€ 864 per maand (servicekosten onbekend),Onbepaalde tijd,2 maanden,Verhuurd onder voorbehoud,In overleg,"Bungalow, vrijstaande woning",Nieuwbouw,2024.0,,Lessenaardak,,,,87.0,3.0,1.0,"Inloopdouche, toilet, en wastafel",2.0,"Mechanische ventilatie, TV kabel, en zonnepanelen",Niet verplicht,Dubbel glas en volledig geïsoleerd,Warmtepomp,Elektrische boiler,,Ligging,,In woonwijk,Tuin rondom,,,,Openbaar parkeren,2317 PZ,Leiden,864.0,1.0,224
696,1732826520-697,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=240,"Bastionstraat 11-2
             
                6811 AM Arnhem",https://www.funda.nl/detail/huur/arnhem/appartement-bastionstraat-11-2/43704619/,Bastionstraat 11-2,Janssingel,97.0,,1286.0,€ 1.286 per maand (servicekosten onbekend),Onbepaalde tijd,2 weken,Onder optie,In overleg,,Nieuwbouw,2020.0,,,,,,333.0,,1.0,"Dubbele wastafel, inloopdouche, en toilet",1.0,,A,Dubbel glas en volledig geïsoleerd,Gehele vloerverwarming,Cv-ketel,,ARNHEM O 7538,,In centrum,,,,,Betaald parkeren en parkeervergunningen,6811 AM,Arnhem,1286.0,,22
697,1732826523-698,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=240,"Kronehoefstraat 17-K
             
                5612 HK Eindhoven",https://www.funda.nl/detail/huur/eindhoven/appartement-kronehoefstraat-17-k/42396452/,Kronehoefstraat 17-K,Hemelrijken,110.0,2.0,2450.0,"€ 2.450 per maand (inclusief servicekosten à € 100,00 /mnd)",Onbepaalde tijd,6+ maanden,Onder optie,Per direct beschikbaar,,Bestaande bouw,2023.0,,,,,,380.0,3.0,1.0,"Douche, dubbele wastafel, inloopdouche, vloerverwarming, en wastafelmeubel",2.0,,Niet beschikbaar,"Dakisolatie, dubbel glas, muurisolatie, vloerisolatie en volledig geïsoleerd",Warmtepomp,,,Schuur/berging,,,,,,,,5612 HK,Eindhoven,2450.0,1.0,118
698,1732826525-699,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=240,"Noordeinde 102-A
             
                2514 GM Den Haag",https://www.funda.nl/detail/huur/den-haag/appartement-noordeinde-102-a/43589375/,Noordeinde 102-A,Kortenbos,112.0,2.0,1875.0,€ 1.875 per maand (geen servicekosten),Onbepaalde tijd,6+ maanden,Verhuurd onder voorbehoud,In overleg,,Bestaande bouw,1934.0,,,24.0,,,250.0,4.0,1.0,Douche en wastafel,2.0,,D,,Cv-ketel,,,Ligging,,In centrum,,,,,Betaald parkeren,2514 GM,Den Haag,1875.0,1.0,90
