,web-scraper-order,web-scraper-start-url,link,link-href,adres,buurt,oppervlakte_wonen,slaapkamers,huurmaand,huurprijs,huurovereenkomst,aangeboden_sinds,status,aanvaarding,soort_woonhuis,soort_bouw,bouwjaar,specifiek,soort_dak,opp_gebouwgebonden_buitenruimte,opp_externe_bergruimte,opp_perceel,inhoud,aantal_kamers,aantal_badkamers,badkamervoorziening,aantal_woonlagen,voorzieningen,energielabel,isolatie,verwarming,warm_water,cv_ketel,kadastrale_kaart,oppervlakte_kadaster,ligging,tuin,achtertuin,ligging_tuin,balkon_dakterras,parkeergelegenheid,postcode,plaatsnaam,huurmaand_woning,aantal_toiletten,plaatsnaam_encoded
2880,1732832159-2881,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=94,"Bifur 12
             
                5661 AW Geldrop",https://www.funda.nl/detail/huur/geldrop/huis-bifur-12/43706412/,Bifur 12,Genoenhuis,99.0,3.0,1850.0,€ 1.850 per maand (geen servicekosten),Onbepaalde tijd,3 weken,Beschikbaar,In overleg,"Eengezinswoning, hoekwoning",Bestaande bouw,2007.0,,Plat dak,,15.0,,400.0,4.0,1.0,"Inloopdouche, toilet, wastafel, en wastafelmeubel",2.0,,A,,,,,Tuin,,,Achtertuin en voortuin,,,,Openbaar parkeren,5661 AW,Geldrop,1850.0,,130
2881,1732832161-2882,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=94,"Rietgorspad 22
             
                1454 AW Watergang",https://www.funda.nl/detail/huur/watergang/huis-rietgorspad-22/43701551/,Rietgorspad 22,Watergang,183.0,5.0,3500.0,€ 3.500 per maand (geen servicekosten),Onbepaalde tijd,2 weken,Beschikbaar,Beschikbaar per 15-12-2024,"Eengezinswoning, 2-onder-1-kapwoning",Bestaande bouw,2019.0,,,11.0,,,660.0,6.0,2.0,"2 douches, ligbad, 2 toiletten, en 2 wastafels",3.0,Elektra,A,,,Cv-ketel,,Ligging,,"Aan rustige weg, in woonwijk, open ligging en vrij uitzicht","Achtertuin, voortuin en zijtuin","70 m² (10,00 meter diep en 7,00 meter breed)",Gelegen op het zuiden bereikbaar via achterom,,Op eigen terrein,1454 AW,Watergang,3500.0,1.0,435
2882,1732832163-2883,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=94,"Landvoogdes 5
             
                3232 PJ Brielle",https://www.funda.nl/detail/huur/brielle/huis-landvoogdes-5/43716043/,Landvoogdes 5,Nieuwland,140.0,5.0,3250.0,€ 3.250 per maand (servicekosten onbekend),Tijdelijke verhuur,15 november 2024,Beschikbaar,In overleg,"Eengezinswoning, tussenwoning",Bestaande bouw,2008.0,,Zadeldak,,6.0,,440.0,6.0,2.0,"Ligbad, 2 toiletten, 2 wastafels, en douche",4.0,,A,,,,,Tuin,,,Achtertuin en voortuin,"72 m² (13,00 meter diep en 5,50 meter breed)",Gelegen op het noordoosten,,Openbaar parkeren,3232 PJ,Brielle,3250.0,,61
2883,1732832166-2884,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=94,"Ommerenveldseweg 49
             
                4032 NB Ommeren",https://www.funda.nl/detail/huur/ommeren/huis-ommerenveldseweg-49/43716312/,Ommerenveldseweg 49,Ommerveld en verspreide huizen polder Meerten,114.0,3.0,900.0,€ 900 per maand (geen servicekosten),Tijdelijke verhuur,2 weken,Beschikbaar,In overleg,"Eengezinswoning, halfvrijstaande woning",Bestaande bouw,,Gemeubileerd en gestoffeerd,,,,,360.0,4.0,1.0,"Douche, toilet, en wastafelmeubel",2.0,,Niet beschikbaar,,Cv-ketel,Cv-ketel,,Ligging,,Buiten bebouwde kom,Zonneterras,,,,,4032 NB,Ommeren,900.0,,296
2884,1732832168-2885,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=94,"Watertorenlaan 37
             
                2275 AW Voorburg",https://www.funda.nl/detail/huur/voorburg/huis-watertorenlaan-37/43717936/,Watertorenlaan 37,Voorburg West zuid,125.0,5.0,3500.0,€ 3.500 per maand (geen servicekosten),Onbepaalde tijd,2 weken,Beschikbaar,Beschikbaar per 01-01-2025,"Eengezinswoning, tussenwoning",Bestaande bouw,2019.0,Gestoffeerd,,,,,344.0,6.0,2.0,,3.0,,A,Dubbel glas en volledig geïsoleerd,Warmtepomp,Zonnecollectoren,,Ligging,,Aan rustige weg en in woonwijk,Achtertuin,,,,,2275 AW,Voorburg,3500.0,2.0,419
2885,1732832173-2886,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Smelen 30
             
                5508 SM Veldhoven",https://www.funda.nl/detail/huur/veldhoven/huis-smelen-30/43717320/,Smelen 30,De Kelen,105.0,3.0,1995.0,€ 1.995 per maand (geen servicekosten),Onbepaalde tijd,19 november 2024,Beschikbaar,Per direct beschikbaar,"Eengezinswoning, tussenwoning",Bestaande bouw,2010.0,Gestoffeerd,Plat dak,,,,485.0,4.0,1.0,Douche,1.0,Elektra,A,,,,,Tuin,,,Achtertuin,"47 m² (10,00 meter diep en 4,78 meter breed)",Gelegen op het zuiden bereikbaar via achterom,,Op eigen terrein,5508 SM,Veldhoven,1995.0,1.0,406
2886,1732832175-2887,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Durgerdammergouw 2-F3
             
                1028 BT Amsterdam",https://www.funda.nl/detail/huur/amsterdam/huis-durgerdammergouw-2-f3/43719438/,Durgerdammergouw 2-F3,Ransdorp,140.0,1.0,3250.0,€ 3.250 per maand (geen servicekosten),Tijdelijke verhuur,15 november 2024,Beschikbaar,Beschikbaar per 01-12-2024,"Eengezinswoning, hoekwoning",Bestaande bouw,2016.0,Gemeubileerd,,,,,450.0,2.0,,,2.0,,A,Dubbel glas en volledig geïsoleerd,Cv-ketel en houtkachel,,,Ligging,,"Aan rustige weg, landelijk gelegen en vrij uitzicht",Achtertuin,"220 m² (20,00 meter diep en 11,00 meter breed)",,,Op eigen terrein,1028 BT,Amsterdam,3250.0,,17
2887,1732832178-2888,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Wethouder Burgers-stee 4
             
                6578 BN Leuth",https://www.funda.nl/detail/huur/leuth/huis-wethouder-burgers-stee-4/43712311/,Wethouder Burgers-stee 4,Leuth,123.0,4.0,1350.0,€ 1.350 per maand (geen servicekosten),Onbepaalde tijd,20 november 2024,Beschikbaar,Beschikbaar per 02-12-2024,"Eengezinswoning, tussenwoning",Bestaande bouw,1982.0,,Zadeldak,6.0,,,310.0,5.0,1.0,"Douche, ligbad, toilet, wastafel, en wastafelmeubel",3.0,Elektra,A,,,,,Tuin,,,Achtertuin en voortuin,"30 m² (6,00 meter diep en 5,00 meter breed)",Gelegen op het zuidoosten bereikbaar via achterom,,Openbaar parkeren,6578 BN,Leuth,1350.0,1.0,233
2888,1732832180-2889,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"De Schulp 7
             
                1181 NA Amstelveen",https://www.funda.nl/detail/huur/amstelveen/huis-de-schulp-7/43713913/,De Schulp 7,Elsrijk Oost,300.0,7.0,7000.0,€ 7.000 per maand (geen servicekosten),Onbepaalde tijd,20 november 2024,Beschikbaar,In overleg,"Eengezinswoning, vrijstaande woning",Bestaande bouw,1960.0,,,,5.0,,810.0,9.0,4.0,"4 inloopdouches, 4 toiletten, 3 wastafels, 4 wastafelmeubels, dubbele wastafel, en ligbad",,Elektra,Niet beschikbaar,Dubbel glas en muurisolatie,"Cv-ketel, open haard en gedeeltelijke vloerverwarming",,,Tuin,,,"Achtertuin, voortuin en zijtuin","350 m² (2,50 meter diep en 1,00 meter breed)",Gelegen op het zuidwesten,,"Betaald parkeren, op eigen terrein, openbaar parkeren, parkeergarage en parkeervergunningen",1181 NA,Amstelveen,7000.0,1.0,16
2889,1732832183-2890,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Bolpraamwerf 2
             
                2317 ED Leiden",https://www.funda.nl/detail/huur/leiden/huis-bolpraamwerf-2/43714528/,Bolpraamwerf 2,Zijlwijk-Zuid,109.0,,2295.0,€ 2.295 per maand (geen servicekosten),Onbepaalde tijd,20 november 2024,Beschikbaar,Per direct beschikbaar,"Eengezinswoning, hoekwoning",Bestaande bouw,1975.0,,,,,212.0,327.0,4.0,1.0,"Douche, toilet, en wastafel",3.0,,B,,,,,LEIDEN D 4739,212.0,,Achtertuin,,,,,2317 ED,Leiden,2295.0,,224
2890,1732832185-2891,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"D.L. Hudigstraat 82
             
                1019 JV Amsterdam",https://www.funda.nl/detail/huur/amsterdam/huis-dl-hudigstraat-82/43714625/,D.L. Hudigstraat 82,Rietlanden,145.0,3.0,3250.0,€ 3.250 per maand (geen servicekosten),Onbepaalde tijd,20 november 2024,Beschikbaar,Beschikbaar per 01-12-2024,"Eengezinswoning, tussenwoning",Bestaande bouw,1999.0,Gestoffeerd,,40.0,,,380.0,4.0,1.0,,4.0,Mechanische ventilatie en schuifpui,A+,Dubbel glas,Warmtepomp,,,Balkon/dakterras,,,,,,Dakterras aanwezig,Op eigen terrein,1019 JV,Amsterdam,3250.0,1.0,17
2891,1732832187-2892,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Binnenweg 5-A
             
                1191 AA Ouderkerk aan de Amstel",https://www.funda.nl/detail/huur/ouderkerk-aan-de-amstel/huis-binnenweg-5-a/43714097/,Binnenweg 5-A,Verspreide huizen in de Duivendrechtsche polder,160.0,3.0,2975.0,€ 2.975 per maand (geen servicekosten),Onbepaalde tijd,20 november 2024,Beschikbaar,Beschikbaar per 10-12-2024,"Woonboerderij, hoekwoning",Bestaande bouw,1800.0,Gemeubileerd,,175.0,,,375.0,4.0,1.0,"Inloopdouche, ligbad, en toilet",1.0,Zonnepanelen,A,,Cv-ketel en pelletkachel,,,Tuin,,,Voortuin,,Gelegen op het zuidwesten bereikbaar via achterom,,Op afgesloten terrein,1191 AA,Ouderkerk aan de Amstel,2975.0,1.0,314
2892,1732832190-2893,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Vlierbessenstraat 6
             
                1326 JH Almere",https://www.funda.nl/detail/huur/almere/huis-vlierbessenstraat-6/43725660/,Vlierbessenstraat 6,Parkwijk Zuidoost,132.0,4.0,1795.0,€ 1.795 per maand (geen servicekosten),Onbepaalde tijd,21 november 2024,Beschikbaar,In overleg,"Eengezinswoning, tussenwoning",Bestaande bouw,,,,6.0,,,400.0,5.0,1.0,"Douche, ligbad, en wastafel",2.0,,Niet beschikbaar,,Stadsverwarming,Cv-ketel,,Ligging,,In woonwijk,Achtertuin,,,,Openbaar parkeren,1326 JH,Almere,1795.0,2.0,11
2893,1732832192-2894,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Rijnlaan 242
             
                5704 HK Helmond",https://www.funda.nl/detail/huur/helmond/huis-rijnlaan-242/43725295/,Rijnlaan 242,Brouwhuis-West,116.0,4.0,1700.0,€ 1.700 per maand (geen servicekosten),Onbepaalde tijd,21 november 2024,Beschikbaar,In overleg,"Eengezinswoning, hoekwoning",Bestaande bouw,1987.0,,Zadeldak,,12.0,,430.0,5.0,1.0,"Ligbad, toilet, wastafel, en wastafelmeubel",3.0,,B,,,,,Tuin,,,Achtertuin,,,,Openbaar parkeren,5704 HK,Helmond,1700.0,,169
2894,1732832194-2895,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Honoré de Balzaclaan 9
             
                5629 PA Eindhoven",https://www.funda.nl/detail/huur/eindhoven/huis-honore-de-balzaclaan-9/43727741/,Honoré de Balzaclaan 9,Blixembosch-Oost,108.0,3.0,1995.0,"€ 1.995 per maand (exclusief servicekosten à € 50,00 /mnd)",Onbepaalde tijd,23 november 2024,Beschikbaar,Beschikbaar per 16-12-2024,"Eengezinswoning, tussenwoning",Bestaande bouw,1999.0,Gestoffeerd,,6.0,,,320.0,6.0,1.0,Douche en toilet,2.0,,B,,Cv-ketel,,,Ligging,,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin,"30 m² (5,00 meter diep en 8,00 meter breed)",,,Op eigen terrein en openbaar parkeren,5629 PA,Eindhoven,1995.0,1.0,118
2895,1732832197-2896,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Poelhekkelaan 4
             
                5644 TN Eindhoven",https://www.funda.nl/detail/huur/eindhoven/huis-poelhekkelaan-4/43727214/,Poelhekkelaan 4,Genneperzijde,175.0,4.0,3950.0,€ 3.950 per maand (geen servicekosten),Onbepaalde tijd,22 november 2024,Beschikbaar,Beschikbaar per 07-01-2025,"Herenhuis, 2-onder-1-kapwoning",Bestaande bouw,1936.0,Gestoffeerd,Zadeldak,,,,550.0,5.0,2.0,"2 douches, 2 dubbele wastafels, ligbad, en toilet",4.0,,G,,,,,Ligging,,In woonwijk,Achtertuin,"144 m² (12,00 meter diep en 12,00 meter breed)",Gelegen op het noorden bereikbaar via achterom,,"Op afgesloten terrein, op eigen terrein en openbaar parkeren",5644 TN,Eindhoven,3950.0,1.0,118
2896,1732832199-2897,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Bastertlaan 62
             
                3632 JJ Loenen aan de Vecht",https://www.funda.nl/detail/huur/loenen-aan-de-vecht/huis-bastertlaan-62/43728409/,Bastertlaan 62,Cronenburgh,160.0,4.0,2750.0,€ 2.750 per maand (geen servicekosten),Tijdelijke verhuur,22 november 2024,Beschikbaar,Beschikbaar per 02-01-2025,"Herenhuis, hoekwoning",Bestaande bouw,2012.0,Gemeubileerd,,40.0,,,533.0,6.0,2.0,"Dubbele wastafel, 2 inloopdouches, ligbad, toilet, 2 wastafelmeubels, en wastafel",3.0,Zonnepanelen,A,Volledig geïsoleerd,,,,Ligging,,Aan rustige weg en in woonwijk,Achtertuin,"40 m² (6,67 meter diep en 6,00 meter breed)",Gelegen op het noorden bereikbaar via achterom,,Openbaar parkeren,3632 JJ,Loenen aan de Vecht,2750.0,1.0,243
2897,1732832201-2898,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Waaiersluis 29
             
                4254 VD Sleeuwijk",https://www.funda.nl/detail/huur/sleeuwijk/huis-waaiersluis-29/43728356/,Waaiersluis 29,Sleeuwijk oost,128.0,3.0,1800.0,€ 1.800 per maand (geen servicekosten),Onbepaalde tijd,25 november 2024,Beschikbaar,In overleg,"Eengezinswoning, tussenwoning",Bestaande bouw,2014.0,,Zadeldak,,,,457.0,5.0,1.0,"Inloopdouche, toilet, wastafel, en wastafelmeubel",3.0,,A,,,,,Tuin,,,Achtertuin en voortuin,,,,Openbaar parkeren,4254 VD,Sleeuwijk,1800.0,1.0,361
2898,1732832203-2899,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Hermesstraat 38
             
                7552 BN Hengelo (OV)",https://www.funda.nl/detail/huur/hengelo-ov/huis-hermesstraat-38/43722709/,Hermesstraat 38,Veldwijk-Noord,125.0,3.0,1450.0,€ 1.450 per maand (geen servicekosten),Onbepaalde tijd,Vandaag,Beschikbaar,Beschikbaar per 01-01-2025,"Eengezinswoning, tussenwoning",Bestaande bouw,,,,,6.0,,400.0,5.0,1.0,"Douche, dubbele wastafel, en toilet",3.0,Elektra,A,Geen isolatie,Gedeeltelijke vloerverwarming,Centrale voorziening,,Ligging,,In woonwijk,Achtertuin,"51 m² (9,00 meter diep en 5,70 meter breed)",,,,7552 BN,Hengelo (OV),1450.0,1.0,172
2899,1732832206-2900,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=93,"Taludweg 77
             
                1215 AC Hilversum",https://www.funda.nl/detail/huur/hilversum/huis-taludweg-77/43723570/,Taludweg 77,Schrijverskwartier,183.0,4.0,3150.0,€ 3.150 per maand (geen servicekosten),Tijdelijke verhuur,Vandaag,Beschikbaar,Beschikbaar per 15-01-2025,"Eengezinswoning, 2-onder-1-kapwoning",Bestaande bouw,1912.0,Gemeubileerd,Zadeldak bedekt met pannen,10.0,,,400.0,5.0,2.0,"Douche, toilet, inloopdouche, en wastafelmeubel",3.0,,A,,,,,Ligging,,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin","120 m² (20,00 meter diep en 6,00 meter breed)",Gelegen op het zuiden,,Op eigen terrein en openbaar parkeren,1215 AC,Hilversum,3150.0,1.0,174
2900,1732832211-2901,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Fultonbaan 36-8
             
                3439 NE Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-fultonbaan-36-8/43777586/,Fultonbaan 36-8,Rijnhuizen,70.0,2.0,1465.0,€ 1.465 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2025.0,Gedeeltelijk gestoffeerd,Plat dak bedekt met bitumineuze dakbedekking,18.0,,,210.0,3.0,1.0,,1.0,"Balansventilatie, glasvezelkabel, lift, mechanische ventilatie, TV kabel, en zonnepanelen",A+++,"Dakisolatie, driedubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Gehele vloerverwarming, warmte terugwininstallatie en warmtepomp",Elektrische boiler,,Ligging,,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Openbaar parkeren en parkeergarage,3439 NE,Nieuwegein,1465.0,1.0,280
2901,1732832213-2902,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Fultonbaan 34-8
             
                3439 NE Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-fultonbaan-34-8/43777582/,Fultonbaan 34-8,Rijnhuizen,79.0,2.0,1560.0,€ 1.560 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2025.0,Gedeeltelijk gestoffeerd,Plat dak bedekt met bitumineuze dakbedekking,13.0,,,237.0,3.0,1.0,,1.0,"Balansventilatie, glasvezelkabel, lift, mechanische ventilatie, TV kabel, en zonnepanelen",A+++,"Dakisolatie, driedubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Gehele vloerverwarming, warmte terugwininstallatie en warmtepomp",Elektrische boiler,,Ligging,,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Openbaar parkeren en parkeergarage,3439 NE,Nieuwegein,1560.0,1.0,280
2902,1732832215-2903,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Fultonbaan 34-9
             
                3439 NE Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-fultonbaan-34-9/43777595/,Fultonbaan 34-9,Rijnhuizen,63.0,2.0,1420.0,€ 1.420 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2025.0,Gedeeltelijk gestoffeerd,Plat dak bedekt met bitumineuze dakbedekking,24.0,,,189.0,3.0,1.0,,1.0,"Balansventilatie, glasvezelkabel, lift, mechanische ventilatie, TV kabel, en zonnepanelen",A+++,"Dakisolatie, driedubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Gehele vloerverwarming, warmte terugwininstallatie en warmtepomp",Elektrische boiler,,Ligging,,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Openbaar parkeren en parkeergarage,3439 NE,Nieuwegein,1420.0,1.0,280
2903,1732832218-2904,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Fultonbaan 34-19
             
                3439 NE Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-fultonbaan-34-19/43777599/,Fultonbaan 34-19,Rijnhuizen,79.0,2.0,1580.0,€ 1.580 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2025.0,Gedeeltelijk gestoffeerd,Plat dak bedekt met bitumineuze dakbedekking,13.0,,,237.0,3.0,1.0,,1.0,"Balansventilatie, glasvezelkabel, lift, mechanische ventilatie, TV kabel, en zonnepanelen",A+++,"Dakisolatie, driedubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Gehele vloerverwarming, warmte terugwininstallatie en warmtepomp",Elektrische boiler,,Ligging,,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Openbaar parkeren en parkeergarage,3439 NE,Nieuwegein,1580.0,1.0,280
2904,1732832220-2905,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Fultonbaan 36-32
             
                3439 NE Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-fultonbaan-36-32/43777503/,Fultonbaan 36-32,Rijnhuizen,70.0,2.0,1495.0,€ 1.495 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2025.0,Gedeeltelijk gestoffeerd,Plat dak bedekt met bitumineuze dakbedekking,19.0,,,222.0,3.0,1.0,,1.0,"Balansventilatie, glasvezelkabel, lift, mechanische ventilatie, TV kabel, en zonnepanelen",A+++,"Dakisolatie, driedubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Gehele vloerverwarming, warmte terugwininstallatie en warmtepomp",Elektrische boiler,,Ligging,,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Openbaar parkeren en parkeergarage,3439 NE,Nieuwegein,1495.0,1.0,280
2905,1732832222-2906,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Fultonbaan 34-10
             
                3439 NE Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-fultonbaan-34-10/43777505/,Fultonbaan 34-10,Rijnhuizen,63.0,2.0,1420.0,€ 1.420 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2025.0,Gedeeltelijk gestoffeerd,Plat dak bedekt met bitumineuze dakbedekking,24.0,,,189.0,3.0,1.0,,1.0,"Balansventilatie, glasvezelkabel, lift, mechanische ventilatie, TV kabel, en zonnepanelen",A+++,"Dakisolatie, driedubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Gehele vloerverwarming, warmte terugwininstallatie en warmtepomp",Elektrische boiler,,Ligging,,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Openbaar parkeren en parkeergarage,3439 NE,Nieuwegein,1420.0,1.0,280
2906,1732832225-2907,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Fultonbaan 34-13
             
                3439 NE Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-fultonbaan-34-13/43777508/,Fultonbaan 34-13,Rijnhuizen,63.0,2.0,1430.0,€ 1.430 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2025.0,Gedeeltelijk gestoffeerd,Plat dak bedekt met bitumineuze dakbedekking,24.0,,,189.0,3.0,1.0,,1.0,"Balansventilatie, glasvezelkabel, lift, mechanische ventilatie, TV kabel, en zonnepanelen",A+++,"Dakisolatie, driedubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Gehele vloerverwarming, warmte terugwininstallatie en warmtepomp",Elektrische boiler,,Ligging,,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Openbaar parkeren en parkeergarage,3439 NE,Nieuwegein,1430.0,1.0,280
2907,1732832227-2908,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Fultonbaan 34-15
             
                3439 NE Nieuwegein",https://www.funda.nl/detail/huur/nieuwegein/appartement-fultonbaan-34-15/43777501/,Fultonbaan 34-15,Rijnhuizen,79.0,2.0,1570.0,€ 1.570 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2025.0,Gedeeltelijk gestoffeerd,Plat dak bedekt met bitumineuze dakbedekking,13.0,,,237.0,3.0,1.0,,1.0,"Balansventilatie, glasvezelkabel, lift, mechanische ventilatie, TV kabel, en zonnepanelen",A+++,"Dakisolatie, driedubbel glas, HR-glas, muurisolatie, vloerisolatie en volledig geïsoleerd","Gehele vloerverwarming, warmte terugwininstallatie en warmtepomp",Elektrische boiler,,Ligging,,Aan rustige weg en in woonwijk,,,,Balkon aanwezig,Openbaar parkeren en parkeergarage,3439 NE,Nieuwegein,1570.0,1.0,280
2908,1732832230-2909,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Appartement (Bouwnr. 26 H)
             
                2811 KH Reeuwijk",https://www.funda.nl/detail/huur/reeuwijk/appartement-appartement-0-ong/43778763/,Appartement (Bouwnr. 26 H),Reeuwijk-Dorp Kern,48.0,,855.0,€ 855 per maand (geen servicekosten),Onbepaalde tijd,6 weken,Beschikbaar,In overleg,,Nieuwbouw,2024.0,Gestoffeerd en monumentaal pand,Samengesteld dak bedekt met pannen,,,,144.0,,1.0,"Inloopdouche, toilet, en wastafelmeubel",1.0,"Dakraam, lift, mechanische ventilatie, en zonnepanelen",A++++,"Dakisolatie, gedeeltelijk dubbel glas, HR-glas en muurisolatie",Gehele vloerverwarming en warmtepomp,Centrale voorziening,,BODEGRAVEN-REEUWIJK,,Aan rustige weg en in woonwijk,Tuin rondom,,,,Op eigen terrein en openbaar parkeren,2811 KH,Reeuwijk,855.0,,326
2909,1732832232-2910,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Kerkplein 13-C
             
                6131 ES Sittard",https://www.funda.nl/detail/huur/sittard/appartement-kerkplein-13-c/43784464/,Kerkplein 13-C,Sittard-Centrum,45.0,1.0,775.0,€ 775 per maand (servicekosten onbekend),Onbepaalde tijd,3 weken,Beschikbaar,Beschikbaar per 01-12-2024,,Bestaande bouw,1887.0,Monumentaal pand,Zadeldak bedekt met pannen,50.0,,,120.0,2.0,,,1.0,TV kabel,D,Dakisolatie,Cv-ketel,Gasboiler,"Nefit Ecomline (gas gestookt uit 2002, eigendom)",SITTARD F 1903,,In centrum,,,,,Betaald parkeren en parkeervergunningen,6131 ES,Sittard,,,360
2910,1732832235-2911,https://www.funda.nl/zoeken/huur?selected_area=%5B%22nl%22%5D&search_result=92,"Parkstraat 24
             
                4818 SJ Breda",https://www.funda.nl/detail/huur/breda/huis-parkstraat-24/43761809/,Parkstraat 24,Zandberg,180.0,,2800.0,€ 2.800 per maand (geen servicekosten),Tijdelijke verhuur,6 weken,Beschikbaar,In overleg,"Herenhuis, halfvrijstaande woning",Bestaande bouw,,,Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,31.0,7.0,394.0,698.0,5.0,,,3.0,,D,,,Cv-ketel,,BREDA B 6576,394.0,Aan park en in woonwijk,"Achtertuin, voortuin en zijtuin",,,,Op eigen terrein en openbaar parkeren,4818 SJ,Breda,2800.0,,58
